name,energy_unit,gau_from,gau_to,year,interpolation_method,extrapolation_method,month,hour,day_type,value,sensitivity
aggregated egrid,megawatt_hour,Desert Southwest agg.,California agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Desert Southwest agg.,Rocky Mountains agg.,2018,linear_interpolation,nearest,,,,8,
aggregated egrid,megawatt_hour,Desert Southwest agg.,Lower Midwest agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Desert Southwest agg.,Utah/Nevada agg.,2018,linear_interpolation,nearest,,,,8,
aggregated egrid,megawatt_hour,California agg.,Desert Southwest agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,California agg.,Pacific Northwest agg.,2018,linear_interpolation,nearest,,,,4.8,
aggregated egrid,megawatt_hour,California agg.,Utah/Nevada agg.,2018,linear_interpolation,nearest,,,,5.333333333,
aggregated egrid,megawatt_hour,Texas agg.,Desert Southwest agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Florida agg.,Southeast agg.,2018,linear_interpolation,nearest,,,,8,
aggregated egrid,megawatt_hour,Upper Midwest agg.,Mid-Atlantic and Great Lakes agg.,2018,linear_interpolation,nearest,,,,2.25,
aggregated egrid,megawatt_hour,Upper Midwest agg.,Lower Midwest agg.,2018,linear_interpolation,nearest,,,,0,
aggregated egrid,megawatt_hour,Upper Midwest agg.,Louisiana and Ozarks agg.,2018,linear_interpolation,nearest,,,,2.909090909,
aggregated egrid,megawatt_hour,New England agg.,New York agg.,2018,linear_interpolation,nearest,,,,3,
aggregated egrid,megawatt_hour,Pacific Northwest agg.,California agg.,2018,linear_interpolation,nearest,,,,4.8,
aggregated egrid,megawatt_hour,Pacific Northwest agg.,Rocky Mountains agg.,2018,linear_interpolation,nearest,,,,0,
aggregated egrid,megawatt_hour,Pacific Northwest agg.,Utah/Nevada agg.,2018,linear_interpolation,nearest,,,,4,
aggregated egrid,megawatt_hour,New York agg.,New England agg.,2018,linear_interpolation,nearest,,,,3,
aggregated egrid,megawatt_hour,New York agg.,Mid-Atlantic and Great Lakes agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Mid-Atlantic and Great Lakes agg.,Upper Midwest agg.,2018,linear_interpolation,nearest,,,,2.25,
aggregated egrid,megawatt_hour,Mid-Atlantic and Great Lakes agg.,New York agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Mid-Atlantic and Great Lakes agg.,Southeast agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Mid-Atlantic and Great Lakes agg.,Louisiana and Ozarks agg.,2018,linear_interpolation,nearest,,,,3.6,
aggregated egrid,megawatt_hour,Rocky Mountains agg.,Desert Southwest agg.,2018,linear_interpolation,nearest,,,,8,
aggregated egrid,megawatt_hour,Rocky Mountains agg.,Pacific Northwest agg.,2018,linear_interpolation,nearest,,,,0,
aggregated egrid,megawatt_hour,Rocky Mountains agg.,Utah/Nevada agg.,2018,linear_interpolation,nearest,,,,8,
aggregated egrid,megawatt_hour,Lower Midwest agg.,Desert Southwest agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Lower Midwest agg.,Texas agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Lower Midwest agg.,Upper Midwest agg.,2018,linear_interpolation,nearest,,,,0,
aggregated egrid,megawatt_hour,Lower Midwest agg.,Louisiana and Ozarks agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Southeast agg.,Mid-Atlantic and Great Lakes agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Southeast agg.,Louisiana and Ozarks agg.,2018,linear_interpolation,nearest,,,,7,
aggregated egrid,megawatt_hour,Louisiana and Ozarks agg.,Florida agg.,2018,linear_interpolation,nearest,,,,8,
aggregated egrid,megawatt_hour,Louisiana and Ozarks agg.,Upper Midwest agg.,2018,linear_interpolation,nearest,,,,2.888888889,
aggregated egrid,megawatt_hour,Louisiana and Ozarks agg.,Mid-Atlantic and Great Lakes agg.,2018,linear_interpolation,nearest,,,,4.5,
aggregated egrid,megawatt_hour,Louisiana and Ozarks agg.,Lower Midwest agg.,2018,linear_interpolation,nearest,,,,6,
aggregated egrid,megawatt_hour,Louisiana and Ozarks agg.,Southeast agg.,2018,linear_interpolation,nearest,,,,7,
aggregated egrid,megawatt_hour,Utah/Nevada agg.,Desert Southwest agg.,2018,linear_interpolation,nearest,,,,8,
aggregated egrid,megawatt_hour,Utah/Nevada agg.,California agg.,2018,linear_interpolation,nearest,,,,5.333333333,
aggregated egrid,megawatt_hour,Utah/Nevada agg.,Pacific Northwest agg.,2018,linear_interpolation,nearest,,,,4,
aggregated egrid,megawatt_hour,Utah/Nevada agg.,Rocky Mountains agg.,2018,linear_interpolation,nearest,,,,8,
custom - regional,megawatt_hour,ercot_reg,lower midwest_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,ercot_reg,wecc_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,florida_reg,southeast_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,louisiana and ozarks_reg,florida_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,louisiana and ozarks_reg,lower midwest_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,louisiana and ozarks_reg,mid-atlantic_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,louisiana and ozarks_reg,midwest_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,louisiana and ozarks_reg,southeast_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,lower midwest_reg,ercot_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,lower midwest_reg,louisiana and ozarks_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,lower midwest_reg,midwest_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,lower midwest_reg,wecc_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,mid-atlantic_reg,louisiana and ozarks_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,mid-atlantic_reg,midwest_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,mid-atlantic_reg,northeast_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,mid-atlantic_reg,southeast_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,midwest_reg,louisiana and ozarks_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,midwest_reg,lower midwest_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,midwest_reg,mid-atlantic_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,northeast_reg,mid-atlantic_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,southeast_reg,louisiana and ozarks_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,southeast_reg,mid-atlantic_reg,2018,linear_interpolation,nearest,,,,5,
custom - regional,megawatt_hour,wecc_reg,lower midwest_reg,2018,linear_interpolation,nearest,,,,5,
