supply_tech,definition,reference_tech_id,currency,geography,currency_year,energy_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,gau,demand_sector,resource_bin,vintage,value,sensitivity
gas steam turbine cogen power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2000.0,3.35,
gas steam turbine cogen power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2014.0,2.73,
gas steam turbine cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,27.75,
gas steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,used Biomass fired boiler as representative steam tech,mx,,,2000.0,3.94,
gas steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,used Biomass fired boiler as representative steam tech,mx,,,2004.0,2.2,
gas steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,used Biomass fired boiler as representative steam tech,mx,,,2016.0,3.4,
geothermal power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1973.0,0.06,
geothermal power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1982.0,0.06,
geothermal power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2000.0,0.06,
landfill gas cogen power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2015.0,13.11,
landfill gas cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,141.4769454,
landfill gas to electricity power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2015.0,8.74,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1905.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1910.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1911.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1912.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1919.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1951.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1953.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1954.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1955.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1957.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1959.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1960.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1962.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1963.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1964.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1965.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1966.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1969.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1973.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1976.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1977.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1980.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1986.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1987.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1991.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1993.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1994.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1995.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1996.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2000.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2007.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2012.0,0.0,
lignocellulosic anaerobic digester w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,19.86,
municipal solid waste cogen power plant,absolute,,USD,mexico,2012.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2012.0,1.225,
municipal solid waste cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,46.7804988,
municipal solid waste power plant,absolute,,USD,mexico,2012.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2000.0,3.5294736839999996,
nuclear power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,,mx,,,1990.0,2.25,
petroleum coke steam turbine cogen power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1995.0,0.0765,
petroleum coke steam turbine cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,42.77,
petroleum coke steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2004.0,2.46,
pulverized coal power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,,mx,,,1982.0,2.46,
pulverized coal power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,,mx,,,1993.0,2.46,
pumped hydro storage,absolute,,USD,mexico,2009.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2010.0,0.0,
residual oil combustion turbine IPP cogen power plant,relative,64.0,,,,,,,,,,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",,,,,,
residual oil combustion turbine IPP cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,38.546193599999995,
residual oil combustion turbine cogen power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1995.0,0.0956,
residual oil combustion turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1995.0,0.0956,
residual oil steam turbine cogen power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1995.0,0.1835,
residual oil steam turbine cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,36.3,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1963.0,3.13,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1964.0,3.13,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1971.0,2.665,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1976.0,2.82,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1981.0,2.2,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1982.0,2.2,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1985.0,3.13,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1986.0,2.2,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1991.0,3.13,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,1998.0,3.13,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2000.0,3.634545455,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2001.0,2.2,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2003.0,3.13,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2006.0,3.94,
residual oil steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2016.0,3.13,
rooftop solar PV power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,,,,,,
run of river hydro power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,,,,,,
solar thermal with energy storage power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2014.0,4.0,
solar thermal without energy storage power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2014.0,4.0,
thermal biomass gasifier,absolute,,EUR,mexico,2009.0,megawatt_hour,linear_interpolation,nearest,,,,,"includes operator labor, oxygen, and plant maintenance",mx,,,2015.0,21.0,
thermal biomass gasifier w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,8.04,
transmission-sited solar PV power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2000.0,0.0,
